number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
98,-0.05720059811886327,2025-06-21 05:37:19.609337,2025-06-21 05:37:20.064468,0 days 00:00:00.455131,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
99,0.1800889618395691,2025-06-21 05:37:20.065876,2025-06-21 05:37:20.648709,0 days 00:00:00.582833,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,COMPLETE
100,0.004931589418777439,2025-06-21 05:37:20.649987,2025-06-21 05:37:21.113453,0 days 00:00:00.463466,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
101,0.21528929403087096,2025-06-21 05:37:21.114838,2025-06-21 05:37:21.598224,0 days 00:00:00.483386,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
102,0.2167906820624793,2025-06-21 05:37:21.600054,2025-06-21 05:37:22.056843,0 days 00:00:00.456789,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,COMPLETE
103,0.18293270447596457,2025-06-21 05:37:22.058125,2025-06-21 05:37:22.527636,0 days 00:00:00.469511,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,COMPLETE
104,0.003994921806362108,2025-06-21 05:37:22.528966,2025-06-21 05:37:23.140388,0 days 00:00:00.611422,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
105,-0.018459835499529873,2025-06-21 05:37:23.141869,2025-06-21 05:37:23.608925,0 days 00:00:00.467056,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,COMPLETE
106,0.20336132717717104,2025-06-21 05:37:23.610406,2025-06-21 05:37:24.091456,0 days 00:00:00.481050,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,COMPLETE
107,0.2198052753484936,2025-06-21 05:37:24.092967,2025-06-21 05:37:24.920171,0 days 00:00:00.827204,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
108,0.010989235888122348,2025-06-21 05:37:24.922063,2025-06-21 05:37:25.646760,0 days 00:00:00.724697,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,COMPLETE
109,-0.06760568889165341,2025-06-21 05:37:25.648587,2025-06-21 05:37:26.471659,0 days 00:00:00.823072,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
110,0.2268305498193046,2025-06-21 05:37:26.473638,2025-06-21 05:37:27.311033,0 days 00:00:00.837395,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
111,-0.014573202241808757,2025-06-21 05:37:27.312303,2025-06-21 05:37:27.790787,0 days 00:00:00.478484,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,COMPLETE
112,0.2268305498193046,2025-06-21 05:37:27.792047,2025-06-21 05:37:28.287601,0 days 00:00:00.495554,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
113,0.16741115378285204,2025-06-21 05:37:28.288909,2025-06-21 05:37:28.841575,0 days 00:00:00.552666,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,COMPLETE
114,0.2018783564997057,2025-06-21 05:37:28.842878,2025-06-21 05:37:29.320462,0 days 00:00:00.477584,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,COMPLETE
115,0.010900720033017569,2025-06-21 05:37:29.321729,2025-06-21 05:37:29.803641,0 days 00:00:00.481912,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,COMPLETE
116,-0.05868861467537776,2025-06-21 05:37:29.805173,2025-06-21 05:37:30.421286,0 days 00:00:00.616113,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
117,0.22784150837088732,2025-06-21 05:37:30.422783,2025-06-21 05:37:30.899722,0 days 00:00:00.476939,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
118,0.23803550269114407,2025-06-21 05:37:30.901189,2025-06-21 05:37:31.416518,0 days 00:00:00.515329,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
119,0.029748887614345732,2025-06-21 05:37:31.418024,2025-06-21 05:37:31.997399,0 days 00:00:00.579375,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,COMPLETE
120,-0.06097332209428903,2025-06-21 05:37:31.998800,2025-06-21 05:37:32.494529,0 days 00:00:00.495729,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
121,-0.006412966382137529,2025-06-21 05:37:32.495981,2025-06-21 05:37:32.962968,0 days 00:00:00.466987,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,COMPLETE
122,0.2380446275425992,2025-06-21 05:37:32.964412,2025-06-21 05:37:33.564928,0 days 00:00:00.600516,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
123,-0.015701540778683847,2025-06-21 05:37:33.566363,2025-06-21 05:37:34.034028,0 days 00:00:00.467665,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
124,0.22578106751210625,2025-06-21 05:37:34.035465,2025-06-21 05:37:34.579705,0 days 00:00:00.544240,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
125,0.23175144529482117,2025-06-21 05:37:34.581123,2025-06-21 05:37:35.164037,0 days 00:00:00.582914,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
126,0.00676323957635439,2025-06-21 05:37:35.165452,2025-06-21 05:37:35.657527,0 days 00:00:00.492075,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
127,0.012855762698328763,2025-06-21 05:37:35.658978,2025-06-21 05:37:36.137977,0 days 00:00:00.478999,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,COMPLETE
128,0.010769912552975438,2025-06-21 05:37:36.139444,2025-06-21 05:37:36.738240,0 days 00:00:00.598796,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,COMPLETE
129,0.04726727022561274,2025-06-21 05:37:36.739743,2025-06-21 05:37:37.342157,0 days 00:00:00.602414,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,COMPLETE
130,0.009789122189267365,2025-06-21 05:37:37.344197,2025-06-21 05:37:38.116106,0 days 00:00:00.771909,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
131,0.23175144529482117,2025-06-21 05:37:38.118133,2025-06-21 05:37:39.084432,0 days 00:00:00.966299,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
132,-0.01789889685689268,2025-06-21 05:37:39.086442,2025-06-21 05:37:39.905625,0 days 00:00:00.819183,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,COMPLETE
133,0.007554405460845156,2025-06-21 05:37:39.906928,2025-06-21 05:37:40.511663,0 days 00:00:00.604735,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
134,0.016048937930388057,2025-06-21 05:37:40.513544,2025-06-21 05:37:40.999748,0 days 00:00:00.486204,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
135,-0.004159539443004469,2025-06-21 05:37:41.001203,2025-06-21 05:37:41.478974,0 days 00:00:00.477771,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
136,0.24154052545718427,2025-06-21 05:37:41.480333,2025-06-21 05:37:42.058133,0 days 00:00:00.577800,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
137,0.23942339552118966,2025-06-21 05:37:42.059446,2025-06-21 05:37:42.536125,0 days 00:00:00.476679,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
138,-0.01688897339085772,2025-06-21 05:37:42.537448,2025-06-21 05:37:43.023939,0 days 00:00:00.486491,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
139,0.2149735099937249,2025-06-21 05:37:43.025225,2025-06-21 05:37:43.582650,0 days 00:00:00.557425,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
140,0.17712596209877607,2025-06-21 05:37:43.583926,2025-06-21 05:37:44.082713,0 days 00:00:00.498787,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,COMPLETE
141,0.05971383103330285,2025-06-21 05:37:44.083991,2025-06-21 05:37:44.578428,0 days 00:00:00.494437,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,COMPLETE
142,0.23942339552118966,2025-06-21 05:37:44.579862,2025-06-21 05:37:45.195458,0 days 00:00:00.615596,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
143,0.22922940120093263,2025-06-21 05:37:45.196968,2025-06-21 05:37:45.676383,0 days 00:00:00.479415,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
144,0.24154052545718427,2025-06-21 05:37:45.677665,2025-06-21 05:37:46.164992,0 days 00:00:00.487327,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
145,0.24154052545718427,2025-06-21 05:37:46.166310,2025-06-21 05:37:46.642163,0 days 00:00:00.475853,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
146,0.24154052545718427,2025-06-21 05:37:46.643437,2025-06-21 05:37:47.133675,0 days 00:00:00.490238,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
147,0.008246274847861496,2025-06-21 05:37:47.135080,2025-06-21 05:37:47.712144,0 days 00:00:00.577064,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
148,0.2129397452650436,2025-06-21 05:37:47.713605,2025-06-21 05:37:48.201661,0 days 00:00:00.488056,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,COMPLETE
149,-0.01688897339085772,2025-06-21 05:37:48.203580,2025-06-21 05:37:48.689324,0 days 00:00:00.485744,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
150,0.22922940120093263,2025-06-21 05:37:48.690596,2025-06-21 05:37:49.193635,0 days 00:00:00.503039,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
151,0.0325638918028718,2025-06-21 05:37:49.194924,2025-06-21 05:37:49.675377,0 days 00:00:00.480453,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,COMPLETE
152,0.22922940120093263,2025-06-21 05:37:49.676794,2025-06-21 05:37:50.550356,0 days 00:00:00.873562,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
153,0.1850564839303616,2025-06-21 05:37:50.552319,2025-06-21 05:37:51.327760,0 days 00:00:00.775441,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
154,0.2215370211311718,2025-06-21 05:37:51.329558,2025-06-21 05:37:52.159084,0 days 00:00:00.829526,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,COMPLETE
155,0.011167577375443652,2025-06-21 05:37:52.161593,2025-06-21 05:37:52.933532,0 days 00:00:00.771939,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
156,-0.00928602255864098,2025-06-21 05:37:52.934842,2025-06-21 05:37:53.434052,0 days 00:00:00.499210,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
157,0.23175144529482117,2025-06-21 05:37:53.435364,2025-06-21 05:37:53.914898,0 days 00:00:00.479534,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
158,0.23175144529482117,2025-06-21 05:37:53.916177,2025-06-21 05:37:54.493542,0 days 00:00:00.577365,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
159,0.23942339552118966,2025-06-21 05:37:54.495080,2025-06-21 05:37:55.058384,0 days 00:00:00.563304,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,COMPLETE
160,0.01652685213856981,2025-06-21 05:37:55.075090,2025-06-21 05:37:55.898618,0 days 00:00:00.823528,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
161,0.23175144529482117,2025-06-21 05:37:55.900146,2025-06-21 05:37:56.548045,0 days 00:00:00.647899,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
162,0.032615263704910614,2025-06-21 05:37:56.549544,2025-06-21 05:37:57.025344,0 days 00:00:00.475800,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,COMPLETE
163,0.2197544860541886,2025-06-21 05:37:57.026662,2025-06-21 05:37:57.534848,0 days 00:00:00.508186,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,COMPLETE
164,0.23175144529482117,2025-06-21 05:37:57.536309,2025-06-21 05:37:58.132107,0 days 00:00:00.595798,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
165,-0.027294678975828136,2025-06-21 05:37:58.133568,2025-06-21 05:37:58.648242,0 days 00:00:00.514674,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
166,0.23175144529482117,2025-06-21 05:37:58.649671,2025-06-21 05:37:59.124151,0 days 00:00:00.474480,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
167,0.2165324705965753,2025-06-21 05:37:59.125525,2025-06-21 05:37:59.722219,0 days 00:00:00.596694,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,COMPLETE
168,0.24154052545718427,2025-06-21 05:37:59.723527,2025-06-21 05:38:00.195316,0 days 00:00:00.471789,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
169,0.23186390716454072,2025-06-21 05:38:00.196632,2025-06-21 05:38:00.702259,0 days 00:00:00.505627,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,COMPLETE
170,0.05818428442057731,2025-06-21 05:38:00.703744,2025-06-21 05:38:01.310588,0 days 00:00:00.606844,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,COMPLETE
171,0.22616462697724055,2025-06-21 05:38:01.312054,2025-06-21 05:38:01.836540,0 days 00:00:00.524486,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,COMPLETE
172,0.008697917409767397,2025-06-21 05:38:01.838006,2025-06-21 05:38:02.319570,0 days 00:00:00.481564,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,COMPLETE
173,-0.029601638700435286,2025-06-21 05:38:02.321731,2025-06-21 05:38:03.171803,0 days 00:00:00.850072,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,COMPLETE
174,0.23175144529482117,2025-06-21 05:38:03.176136,2025-06-21 05:38:04.059982,0 days 00:00:00.883846,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,COMPLETE
175,0.23679954216661775,2025-06-21 05:38:04.062183,2025-06-21 05:38:05.065665,0 days 00:00:01.003482,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
176,0.2369120040363373,2025-06-21 05:38:05.067610,2025-06-21 05:38:05.709370,0 days 00:00:00.641760,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,COMPLETE
177,0.009065520177829604,2025-06-21 05:38:05.711485,2025-06-21 05:38:06.207595,0 days 00:00:00.496110,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,COMPLETE
178,-0.05413430397926277,2025-06-21 05:38:06.208938,2025-06-21 05:38:06.785203,0 days 00:00:00.576265,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,COMPLETE
179,0.24154052545718427,2025-06-21 05:38:06.786509,2025-06-21 05:38:07.279121,0 days 00:00:00.492612,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
180,0.008246274847861496,2025-06-21 05:38:07.280420,2025-06-21 05:38:07.779887,0 days 00:00:00.499467,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
181,0.24154052545718427,2025-06-21 05:38:07.781170,2025-06-21 05:38:08.270805,0 days 00:00:00.489635,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
182,0.2275085561984626,2025-06-21 05:38:08.272119,2025-06-21 05:38:08.836730,0 days 00:00:00.564611,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,COMPLETE
183,0.23213707761930957,2025-06-21 05:38:08.838060,2025-06-21 05:38:09.340700,0 days 00:00:00.502640,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
184,0.051850427280970765,2025-06-21 05:38:09.341982,2025-06-21 05:38:09.919555,0 days 00:00:00.577573,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,COMPLETE
185,0.006642801230809709,2025-06-21 05:38:09.920894,2025-06-21 05:38:10.418339,0 days 00:00:00.497445,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
186,0.23213707761930957,2025-06-21 05:38:10.419637,2025-06-21 05:38:10.907200,0 days 00:00:00.487563,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
187,0.2378196255696556,2025-06-21 05:38:10.908509,2025-06-21 05:38:11.499588,0 days 00:00:00.591079,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
188,0.22089360099185418,2025-06-21 05:38:11.500994,2025-06-21 05:38:11.973295,0 days 00:00:00.472301,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
189,-0.01688897339085772,2025-06-21 05:38:11.974571,2025-06-21 05:38:12.484424,0 days 00:00:00.509853,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
190,-0.007207771052363533,2025-06-21 05:38:12.485677,2025-06-21 05:38:13.049134,0 days 00:00:00.563457,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
191,0.2378196255696556,2025-06-21 05:38:13.050432,2025-06-21 05:38:13.556349,0 days 00:00:00.505917,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
192,-0.007207771052363533,2025-06-21 05:38:13.557638,2025-06-21 05:38:14.033920,0 days 00:00:00.476282,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
193,0.029533010492856702,2025-06-21 05:38:14.035217,2025-06-21 05:38:14.615182,0 days 00:00:00.579965,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,COMPLETE
194,0.05988954440167916,2025-06-21 05:38:14.616685,2025-06-21 05:38:15.097892,0 days 00:00:00.481207,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,COMPLETE
195,0.007965703557645028,2025-06-21 05:38:15.099350,2025-06-21 05:38:15.752190,0 days 00:00:00.652840,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,COMPLETE
196,0.24154052545718427,2025-06-21 05:38:15.754308,2025-06-21 05:38:16.566357,0 days 00:00:00.812049,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
197,0.24256060886022213,2025-06-21 05:38:16.572233,2025-06-21 05:38:17.432518,0 days 00:00:00.860285,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,COMPLETE
198,0.24175845469715293,2025-06-21 05:38:17.434761,2025-06-21 05:38:18.325196,0 days 00:00:00.890435,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,COMPLETE
199,-0.02765309936835969,2025-06-21 05:38:18.326527,2025-06-21 05:38:18.845155,0 days 00:00:00.518628,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,COMPLETE
